Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://bestlawfirms.usnews.com/search.aspx?practice-area-id=31&practice-area=Mutual+Funds+Law, time: 2013-02-17T20:54:25.325373, size: 48494 bytes, return code: 200, depth: 2
URL: http://health.usnews.com/best-hospitals, time: 2013-02-17T20:54:25.603794, size: 41124 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/education/online-education, time: 2013-02-17T20:54:25.757240, size: 51442 bytes, return code: 200, depth: 1
URL: http://bestlawfirms.usnews.com/firms/ropes-gray/Testimonials/17395/, time: 2013-02-17T20:54:26.422725, size: 127467 bytes, return code: 200, depth: 2
URL: http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-business-schools, time: 2013-02-17T20:54:27.426641, size: 51999 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/education/best-graduate-schools/articles/2012/03/13/us-news-releases-2013-best-graduate-schools-rankings, time: 2013-02-17T20:54:27.684912, size: 66232 bytes, return code: 200, depth: 2
URL: http://grad-schools.usnews.rankingsandreviews.com/best-graduate-schools/top-business-schools/entrepreneurship, time: 2013-02-17T20:54:28.279564, size: 62942 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/education/best-high-schools/national-rankings, time: 2013-02-17T20:54:28.487626, size: 123915 bytes, return code: 200, depth: 2
URL: http://vimeo.com/enhancer, time: 2013-02-17T20:54:28.923984, size: 20734 bytes, return code: 200, depth: 1
URL: http://vimeo.com/join, time: 2013-02-17T20:54:28.968562, size: 15754 bytes, return code: 200, depth: 1
URL: http://ianlaser.com, time: 2013-02-17T20:54:29.278842, size: 25985 bytes, return code: 200, depth: 2
URL: http://vimeo.com/59629693, time: 2013-02-17T20:54:29.409580, size: 37671 bytes, return code: 200, depth: 2
URL: http://vimeo.com/30585464, time: 2013-02-17T20:54:29.682713, size: 37664 bytes, return code: 200, depth: 2
URL: http://vimeo.com/creativecommons, time: 2013-02-17T20:54:31.929019, size: 45348 bytes, return code: 200, depth: 1
URL: http://vimeo.com/videoschool/lesson/11/introduction-to-dslr-cameras, time: 2013-02-17T20:54:32.304466, size: 47065 bytes, return code: 200, depth: 2
URL: https://vimeo.com/home/watchlater, time: 2013-02-17T20:54:32.685128, size: 36002 bytes, return code: 200, depth: 2
URL: https://vimeo.com/help/faq/vimeo_on_tv#what_is_couch_mode, time: 2013-02-17T20:54:35.404466, size: 771357 bytes, return code: 200, depth: 2
URL: http://vimeo.com/videoschool/archive/software, time: 2013-02-17T20:54:35.745156, size: 53538 bytes, return code: 200, depth: 2
URL: https://vimeo.com/groups, time: 2013-02-17T20:54:36.203976, size: 45626 bytes, return code: 200, depth: 2
URL: http://vimeo.com/user7252450, time: 2013-02-17T20:54:36.593568, size: 42670 bytes, return code: 200, depth: 2
URL: http://vimeo.com/videoschool/archive/gear, time: 2013-02-17T20:54:37.111161, size: 52722 bytes, return code: 200, depth: 2
URL: https://vimeo.com/cameronchristopher, time: 2013-02-17T20:54:37.257667, size: 46465 bytes, return code: 200, depth: 2
URL: http://www.shutterstock.com/, time: 2013-02-17T20:54:37.366082, size: 47021 bytes, return code: 200, depth: 2
URL: http://vimeo.com/wtysl, time: 2013-02-17T20:54:37.747369, size: 42986 bytes, return code: 200, depth: 2
