Listing all pages crawled in BFS order for query: love, for n: 500
URL: http://www.apple.com/mac/, time: 2013-02-15T11:08:39.141991, size: 19300 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/artist/merriam-webster-inc./id399452290, time: 2013-02-15T11:08:39.687620, size: 5242 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewEula?id=399452287, time: 2013-02-15T11:08:39.843071, size: 5240 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/math-drills-lite/id302881372?mt=8, time: 2013-02-15T11:08:40.372325, size: 39172 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/genre/ios-education/id6017?mt=8, time: 2013-02-15T11:08:40.704986, size: 73812 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/area-code-directory/id357420195?mt=8, time: 2013-02-15T11:08:41.510921, size: 41368 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/genre/ios-reference/id6006?mt=8, time: 2013-02-15T11:08:41.941396, size: 71825 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/awesome-xylophone/id423063965?mt=8, time: 2013-02-15T11:08:42.472787, size: 42903 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/equation-genius-math-equation/id372919594?mt=8, time: 2013-02-15T11:08:42.923651, size: 42496 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/cambridge-advanced-learners/id292432519?mt=8, time: 2013-02-15T11:08:43.283804, size: 46510 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/merriam-webster-dictionary/id399452287?mt=8, time: 2013-02-15T11:08:43.705667, size: 43348 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/WebObjects/MZStore.woa/wa/appRatings, time: 2013-02-15T11:08:43.902623, size: 5210 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/merriam-webster-dictionary/id478126577?mt=8, time: 2013-02-15T11:08:44.470324, size: 44425 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/scrabble-dictionary/id542466961?mt=8, time: 2013-02-15T11:08:44.655971, size: 41137 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/learners-dictionary-english/id522468643?mt=8, time: 2013-02-15T11:08:44.872831, size: 44018 bytes, return code: 200, depth: 2
URL: http://www.apple.com/itunes/download/, time: 2013-02-15T11:08:44.929757, size: 13909 bytes, return code: 200, depth: 2
URL: http://itunes.apple.com/us/browse/, time: 2013-02-15T11:08:45.568416, size: 70686 bytes, return code: 200, depth: 2
URL: http://itunes.apple.com/us/genre/mobile-software-applications/id36?mt=8, time: 2013-02-15T11:08:45.995032, size: 36420 bytes, return code: 200, depth: 2
URL: http://itunes.apple.com/us/store, time: 2013-02-15T11:08:46.454759, size: 5191 bytes, return code: 200, depth: 2
URL: http://store.apple.com/us/browse/home/giftcards/itunes/gallery, time: 2013-02-15T11:08:46.705004, size: 64917 bytes, return code: 200, depth: 2
URL: http://www.apple.com/itunes/corporatesales/, time: 2013-02-15T11:08:46.777619, size: 10411 bytes, return code: 200, depth: 2
URL: http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewFeature?id=365729306, time: 2013-02-15T11:08:46.921292, size: 5245 bytes, return code: 200, depth: 2
URL: http://www.apple.com/itunes/inside-itunes/, time: 2013-02-15T11:08:46.998023, size: 21549 bytes, return code: 200, depth: 2
URL: http://store.apple.com/us, time: 2013-02-15T11:08:47.328442, size: 103126 bytes, return code: 200, depth: 2
URL: http://www.apple.com/retail/, time: 2013-02-15T11:08:47.415075, size: 20472 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewEula?id=438477986, time: 2013-02-15T11:08:47.550663, size: 5240 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/kno-textbooks/id424280183?mt=8, time: 2013-02-15T11:08:47.965416, size: 42938 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/constitution-for-ipad/id363287472?mt=8, time: 2013-02-15T11:08:48.367656, size: 45177 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/leafsnap-for-ipad/id433522683?mt=8, time: 2013-02-15T11:08:48.790684, size: 38976 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/world-book-this-day-in-history/id364739528?mt=8, time: 2013-02-15T11:08:49.191650, size: 41988 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/english-dictionary-thesaurus/id379400663?mt=8, time: 2013-02-15T11:08:49.795751, size: 47149 bytes, return code: 200, depth: 2
URL: https://itunes.apple.com/us/app/merriam-webster-dictionary/id438477986?mt=8, time: 2013-02-15T11:08:50.096679, size: 43458 bytes, return code: 200, depth: 2
URL: http://twitter.com/, time: 2013-02-15T11:08:51.700849, size: 74265 bytes, return code: 200, depth: 2
URL: http://twitter.com/merriamwebster?lang=id, time: 2013-02-15T11:08:55.855641, size: 210215 bytes, return code: 200, depth: 2
URL: http://twitter.com/merriamwebster?lang=msa, time: 2013-02-15T11:08:57.168175, size: 210203 bytes, return code: 200, depth: 2
URL: http://twitter.com/merriamwebster?lang=da, time: 2013-02-15T11:08:58.744830, size: 210804 bytes, return code: 200, depth: 2
URL: http://twitter.com/merriamwebster?lang=de, time: 2013-02-15T11:09:00.178652, size: 211289 bytes, return code: 200, depth: 2
URL: http://twitter.com/merriamwebster?lang=es, time: 2013-02-15T11:09:01.565425, size: 210258 bytes, return code: 200, depth: 2
