Listing all pages crawled in BFS order for query: suel, for n: 500
URL: http://www.poly.edu/admissions/graduate/admitted, time: 2013-02-17T20:24:55.066621, size: 23986 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/academics/bsms, time: 2013-02-17T20:24:55.230844, size: 18457 bytes, return code: 200, depth: 2
URL: http://cis.poly.edu/westlab/people.html, time: 2013-02-17T20:24:55.457628, size: 7080 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/life/student-resources/registrar/academic-calendar, time: 2013-02-17T20:24:55.535184, size: 29424 bytes, return code: 200, depth: 2
URL: http://cis.poly.edu/westlab/grants.html, time: 2013-02-17T20:24:55.684401, size: 6032 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/research, time: 2013-02-17T20:24:55.873749, size: 17423 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/research/labs, time: 2013-02-17T20:24:55.982600, size: 29308 bytes, return code: 200, depth: 2
URL: http://catalog.poly.edu, time: 2013-02-17T20:24:56.435377, size: 33837 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/research/cite, time: 2013-02-17T20:24:57.240214, size: 19583 bytes, return code: 200, depth: 2
URL: http://www.nycmedialab.org/, time: 2013-02-17T20:24:58.277862, size: 32490 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/business/nyc-seed, time: 2013-02-17T20:24:58.847254, size: 15398 bytes, return code: 200, depth: 2
URL: http://twitter.com/bloombergnews, time: 2013-02-17T20:24:59.347078, size: 256202 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/business/powerbridgeny, time: 2013-02-17T20:24:59.910773, size: 20158 bytes, return code: 200, depth: 2
URL: https://plus.google.com/b/101169269861152216375/101169269861152216375/posts, time: 2013-02-17T20:25:00.279469, size: 309164 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life, time: 2013-02-17T20:25:00.478229, size: 18151 bytes, return code: 200, depth: 2
URL: http://www.stumbleupon.com/channel/Bloomberg, time: 2013-02-17T20:25:01.672550, size: 73188 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/, time: 2013-02-17T20:25:01.839338, size: 91213 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/life/graduate, time: 2013-02-17T20:25:01.953652, size: 16740 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/international-students, time: 2013-02-17T20:25:02.056589, size: 17358 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/life/student-resources, time: 2013-02-17T20:25:02.162330, size: 16102 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/life/health, time: 2013-02-17T20:25:02.659616, size: 16156 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/about, time: 2013-02-17T20:25:02.826675, size: 17222 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/about/contacts, time: 2013-02-17T20:25:03.002499, size: 16697 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/academics/departments/computer/research, time: 2013-02-17T20:25:04.059003, size: 36812 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/academics/departments/electrical, time: 2013-02-17T20:25:04.319595, size: 25051 bytes, return code: 200, depth: 2
URL: http://webteam.poly.edu/support, time: 2013-02-17T20:25:04.858195, size: 2942 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/events/calendar, time: 2013-02-17T20:25:05.091974, size: 138643 bytes, return code: 200, depth: 2
URL: https://www.bloomberginstitute.com/bat/start/, time: 2013-02-17T20:25:05.265172, size: 15433 bytes, return code: 200, depth: 1
URL: http://about.bloomberg.co.jp/, time: 2013-02-17T20:25:05.588642, size: 11394 bytes, return code: 200, depth: 1
URL: https://dev.twitter.com, time: 2013-02-17T20:25:05.868541, size: 12670 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.co.jp/, time: 2013-02-17T20:25:05.935091, size: 58217 bytes, return code: 200, depth: 1
URL: http://nyu.edu, time: 2013-02-17T20:25:06.039058, size: 29196 bytes, return code: 200, depth: 2
URL: https://twitter.com/i/directory/profiles, time: 2013-02-17T20:25:06.751147, size: 75678 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.cn/, time: 2013-02-17T20:25:07.093874, size: 9757 bytes, return code: 200, depth: 1
URL: http://cis.poly.edu/~christom/, time: 2013-02-17T20:25:07.374039, size: 10264 bytes, return code: 200, depth: 1
URL: http://open.bloomberg.com/, time: 2013-02-17T20:25:07.486127, size: 14960 bytes, return code: 200, depth: 1
URL: http://academie23.blogspot.com, time: 2013-02-17T20:25:08.491389, size: 210148 bytes, return code: 200, depth: 1
URL: http://www.wiley.com/WileyCDA/Section/id-404407.html, time: 2013-02-17T20:25:08.491533, size: 47437 bytes, return code: 200, depth: 1
URL: http://www.bloomberglink.com/gatherings.php, time: 2013-02-17T20:25:08.954525, size: 19029 bytes, return code: 200, depth: 1
URL: http://www.sueljewelry.com/bottom.html, time: 2013-02-17T20:25:09.363108, size: 506 bytes, return code: 200, depth: 1
URL: https://twitter.com/LucienSuel/status/302690841565208576, time: 2013-02-17T20:25:09.363205, size: 79042 bytes, return code: 200, depth: 1
URL: http://t.co/IENyNzmz, time: 2013-02-17T20:25:09.783302, size: 235 bytes, return code: 200, depth: 1
URL: https://twitter.com/LaLangelliere/status/302141936796581889, time: 2013-02-17T20:25:12.147464, size: 79229 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?q=%23Tarkos&src=hash, time: 2013-02-17T20:25:12.147658, size: 92015 bytes, return code: 200, depth: 1
URL: http://t.co/490cQ6lv, time: 2013-02-17T20:25:12.660554, size: 145 bytes, return code: 200, depth: 1
URL: http://t.co/6TMvGq0Z, time: 2013-02-17T20:25:14.844296, size: 149 bytes, return code: 200, depth: 1
URL: http://t.co/bhGXg0bg, time: 2013-02-17T20:25:17.824094, size: 141 bytes, return code: 200, depth: 1
URL: http://t.co/pgsrhmsE, time: 2013-02-17T20:25:18.250115, size: 224 bytes, return code: 200, depth: 1
URL: http://t.co/zKVNS99g, time: 2013-02-17T20:25:18.816361, size: 243 bytes, return code: 200, depth: 1
URL: https://twitter.com/lamazezen, time: 2013-02-17T20:25:18.963907, size: 207346 bytes, return code: 200, depth: 1
URL: http://t.co/Q7N7ivIy, time: 2013-02-17T20:25:19.365031, size: 217 bytes, return code: 200, depth: 1
URL: https://www.bloombergblack.com/, time: 2013-02-17T20:25:20.303795, size: 11025 bytes, return code: 200, depth: 1
URL: https://support.twitter.com/articles/20069937, time: 2013-02-17T20:25:20.880723, size: 16739 bytes, return code: 200, depth: 1
URL: https://dev.twitter.com/docs/embedded-tweets, time: 2013-02-17T20:25:22.141399, size: 36837 bytes, return code: 200, depth: 1
URL: http://support.twitter.com/forums/26810/entries/78525, time: 2013-02-17T20:25:22.141524, size: 16621 bytes, return code: 200, depth: 1
URL: http://www.sueljewelry.com/about_us.html, time: 2013-02-17T20:25:22.773897, size: 2297 bytes, return code: 200, depth: 2
URL: http://jobsearch.bloomberg.com/, time: 2013-02-17T20:25:22.970417, size: 108954 bytes, return code: 200, depth: 1
URL: http://www.10corsocomo.com, time: 2013-02-17T20:25:25.269819, size: 5611 bytes, return code: 200, depth: 2
URL: http://www.fuengirola.org, time: 2013-02-17T20:25:25.932005, size: 9783 bytes, return code: 200, depth: 2
URL: http://nytm.org/made-in-nyc, time: 2013-02-17T20:25:25.932136, size: 64818 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/dwo/, time: 2013-02-17T20:25:29.823061, size: 23523 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/undergrad/advising/index.html, time: 2013-02-17T20:25:30.296176, size: 37561 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/grad/prospective/index.html, time: 2013-02-17T20:25:33.183991, size: 28881 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/diversity/deans-message.html, time: 2013-02-17T20:25:33.603954, size: 31356 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/jobs/researchers.html, time: 2013-02-17T20:25:34.275180, size: 28732 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/giving/why-give.html, time: 2013-02-17T20:25:34.604343, size: 26960 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/administration/contracts.html, time: 2013-02-17T20:25:35.018712, size: 31519 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/bioresearch/fac-specialties.html, time: 2013-02-17T20:25:35.942894, size: 107890 bytes, return code: 200, depth: 1
URL: http://www.ovsa.njit.edu/kyle/isaac/, time: 2013-02-17T20:25:36.069080, size: 522 bytes, return code: 200, depth: 2
URL: http://www.canonfire.com/wiki/index.php?title=TSR,_Inc., time: 2013-02-17T20:25:37.050653, size: 58521 bytes, return code: 200, depth: 1
URL: http://biology.ucsd.edu/biosections/cdb/index.html, time: 2013-02-17T20:25:37.408907, size: 23292 bytes, return code: 200, depth: 1
