Listing all pages crawled in BFS order for query: python, for n: 500
URL: https://developers.google.com/, time: 2013-02-15T11:11:35.157624, size: 28217 bytes, return code: 200, depth: 1
URL: https://developers.google.com/products/, time: 2013-02-15T11:11:44.328742, size: 17352 bytes, return code: 200, depth: 1
URL: https://developers.google.com/events/, time: 2013-02-15T11:11:45.869887, size: 75331 bytes, return code: 200, depth: 1
URL: https://developers.google.com/showcase/, time: 2013-02-15T11:11:46.561165, size: 83149 bytes, return code: 200, depth: 1
URL: https://developers.google.com/live/, time: 2013-02-15T11:11:50.217152, size: 78841 bytes, return code: 200, depth: 1
URL: https://developers.google.com/groups/, time: 2013-02-15T11:11:50.615394, size: 26927 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/, time: 2013-02-15T11:11:51.673421, size: 14222 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/set-up, time: 2013-02-15T11:11:52.864220, size: 25843 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/introduction, time: 2013-02-15T11:11:54.635956, size: 29836 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/strings, time: 2013-02-15T11:11:55.551571, size: 29264 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/lists, time: 2013-02-15T11:11:56.891357, size: 23744 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/sorting, time: 2013-02-15T11:11:57.223069, size: 24811 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/dict-files, time: 2013-02-15T11:11:58.114110, size: 24912 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/regular-expressions, time: 2013-02-15T11:11:58.732797, size: 32689 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/utilities, time: 2013-02-15T11:11:59.105642, size: 24364 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=tKTZoB2Vjuk, time: 2013-02-15T11:11:59.577105, size: 192791 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=EPYupizJYQI, time: 2013-02-15T11:12:00.178824, size: 205321 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=haycL41dAhg, time: 2013-02-15T11:12:00.828256, size: 202120 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=kWyoYtvJpe4, time: 2013-02-15T11:12:01.609453, size: 182767 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=uKZ8GBKmeDM, time: 2013-02-15T11:12:02.157446, size: 198242 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=Nn2KQmVF5Og, time: 2013-02-15T11:12:02.732447, size: 204369 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/watch?v=IcteAbMC1Ok, time: 2013-02-15T11:12:03.280196, size: 201862 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/exercises/basic, time: 2013-02-15T11:12:04.669848, size: 17999 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/exercises/baby-names, time: 2013-02-15T11:12:06.100577, size: 21359 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/exercises/copy-special, time: 2013-02-15T11:12:07.354944, size: 20555 bytes, return code: 200, depth: 1
URL: https://developers.google.com/edu/python/exercises/log-puzzle, time: 2013-02-15T11:12:07.953306, size: 23051 bytes, return code: 200, depth: 1
URL: http://www-cs-faculty.stanford.edu/%7enick/, time: 2013-02-15T11:12:08.378510, size: 8452 bytes, return code: 200, depth: 1
URL: https://groups.google.com/forum/?fromgroups#!forum/python-gcu-forum, time: 2013-02-15T11:12:09.380486, size: 81229 bytes, return code: 200, depth: 1
URL: http://www.google.com/, time: 2013-02-15T11:12:09.633089, size: 95430 bytes, return code: 200, depth: 1
URL: https://developers.google.com/readme/terms, time: 2013-02-15T11:12:11.294453, size: 16054 bytes, return code: 200, depth: 1
URL: http://www.google.com/intl/en/privacy/, time: 2013-02-15T11:12:11.436543, size: 23374 bytes, return code: 200, depth: 1
URL: http://www.google.com/+, time: 2013-02-15T11:12:12.224794, size: 74833 bytes, return code: 200, depth: 1
URL: http://www.directed.com/, time: 2013-02-15T11:12:13.065849, size: 24713 bytes, return code: 200, depth: 1
URL: http://www.deiholdings.com, time: 2013-02-15T11:12:13.588180, size: 16845 bytes, return code: 200, depth: 1
URL: http://inculcate.me/school/courses/2/, time: 2013-02-15T11:12:14.585534, size: 20776 bytes, return code: 200, depth: 1
URL: http://ruby.learncodethehardway.org, time: 2013-02-15T11:12:14.841446, size: 10843 bytes, return code: 200, depth: 1
URL: http://c.learncodethehardway.org, time: 2013-02-15T11:12:15.088441, size: 9453 bytes, return code: 200, depth: 1
URL: http://sql.learncodethehardway.org, time: 2013-02-15T11:12:15.341482, size: 8524 bytes, return code: 200, depth: 1
URL: http://regex.learncodethehardway.org, time: 2013-02-15T11:12:15.580099, size: 7397 bytes, return code: 200, depth: 1
URL: http://cli.learncodethehardway.org, time: 2013-02-15T11:12:15.821683, size: 8913 bytes, return code: 200, depth: 1
URL: http://learnpythonthehardway.org/book/, time: 2013-02-15T11:12:16.094593, size: 11106 bytes, return code: 200, depth: 1
URL: https://www.wepay.com/donations/1750431688, time: 2013-02-15T11:12:16.630639, size: 10670 bytes, return code: 200, depth: 1
URL: http://learnpythonthehardway.org/#faq, time: 2013-02-15T11:12:16.863728, size: 6430 bytes, return code: 200, depth: 1
URL: http://learncodethehardway.org, time: 2013-02-15T11:12:17.181418, size: 13092 bytes, return code: 200, depth: 1
URL: http://learnpythonthehardway.org/credits.html, time: 2013-02-15T11:12:17.420781, size: 5484 bytes, return code: 200, depth: 1
URL: http://xkcd.com/archive, time: 2013-02-15T11:12:17.630579, size: 74773 bytes, return code: 200, depth: 1
URL: http://what-if.xkcd.com, time: 2013-02-15T11:12:17.675093, size: 8102 bytes, return code: 200, depth: 1
URL: http://blag.xkcd.com, time: 2013-02-15T11:12:17.956566, size: 46632 bytes, return code: 200, depth: 1
URL: http://store.xkcd.com/, time: 2013-02-15T11:12:18.670664, size: 35300 bytes, return code: 200, depth: 1
URL: http://xkcd.com/about, time: 2013-02-15T11:12:18.781086, size: 7548 bytes, return code: 200, depth: 1
URL: http://xkcd.com/, time: 2013-02-15T11:12:18.868198, size: 6449 bytes, return code: 200, depth: 1
URL: http://oglaf.com/, time: 2013-02-15T11:12:19.052670, size: 5366 bytes, return code: 200, depth: 1
URL: http://www.smbc-comics.com/, time: 2013-02-15T11:12:19.172804, size: 22321 bytes, return code: 200, depth: 1
URL: http://www.qwantz.com, time: 2013-02-15T11:12:19.212924, size: 246 bytes, return code: 200, depth: 1
URL: http://www.asofterworld.com, time: 2013-02-15T11:12:19.245214, size: 11090 bytes, return code: 200, depth: 1
URL: http://buttersafe.com/, time: 2013-02-15T11:12:19.442430, size: 14187 bytes, return code: 200, depth: 1
URL: http://pbfcomics.com/, time: 2013-02-15T11:12:19.592237, size: 16861 bytes, return code: 200, depth: 1
URL: http://questionablecontent.net/, time: 2013-02-15T11:12:19.671496, size: 12338 bytes, return code: 200, depth: 1
URL: http://xkcd.com/license.html, time: 2013-02-15T11:12:19.688171, size: 2558 bytes, return code: 200, depth: 1
URL: http://groups.google.com/, time: 2013-02-15T11:12:20.418320, size: 81229 bytes, return code: 200, depth: 2
URL: http://bugs.python.org/issue?@template=search&status=1, time: 2013-02-15T11:12:21.133130, size: 21215 bytes, return code: 200, depth: 2
URL: http://www.onlamp.com/pub/a/python/2003/04/17/metaclasses.html, time: 2013-02-15T11:12:25.369481, size: 35469 bytes, return code: 200, depth: 2
URL: http://sourceforge.net/projects/pywin32/, time: 2013-02-15T11:12:28.957475, size: 55382 bytes, return code: 200, depth: 2
URL: http://www.zope.org/Members/Brian/PythonNet, time: 2013-02-15T11:12:30.303492, size: 13646 bytes, return code: 200, depth: 2
URL: http://aspn.activestate.com/ASPN/Cookbook/Python/Recipe/81254, time: 2013-02-15T11:12:31.482059, size: 32116 bytes, return code: 200, depth: 2
