Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: https://www.ixquick.com/eng/download-ixquick-plugin.html, time: 2013-02-17T20:43:52.417422, size: 134327 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/search/video?q=horoscope&fcoid=410&fcop=topnav&fpid=2, time: 2013-02-17T20:43:55.175985, size: 65085 bytes, return code: 200, depth: 2
URL: http://www.blekko.com, time: 2013-02-17T20:43:56.416005, size: 11505 bytes, return code: 200, depth: 2
URL: http://search.yahoo.com/web;_ylt=A2KJ3CcWhyFRQBMAYyftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:43:57.912631, size: 12461 bytes, return code: 200, depth: 2
URL: http://news.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAZyftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:43:57.912667, size: 11644 bytes, return code: 200, depth: 2
URL: http://www.recipebridge.com/, time: 2013-02-17T20:43:58.121717, size: 33192 bytes, return code: 200, depth: 2
URL: http://local.search.yahoo.com/r/_ylt=A2KJ3CcWhyFRQBMAYiftmYlQ/SIG=11bfk9d1h/EXP=1361180566/**http%3a//local.yahoo.com/, time: 2013-02-17T20:43:58.778932, size: 98955 bytes, return code: 200, depth: 2
URL: http://dir.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAaSftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:43:59.918789, size: 11555 bytes, return code: 200, depth: 2
URL: http://answers.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAaCftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:00.501534, size: 83751 bytes, return code: 200, depth: 2
URL: http://shine.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAbSftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.030301, size: 11709 bytes, return code: 200, depth: 2
URL: http://blog.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAbCftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.030357, size: 11569 bytes, return code: 200, depth: 2
URL: http://finance.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAayftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.062506, size: 13285 bytes, return code: 200, depth: 2
URL: http://sports.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAaiftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.062599, size: 11616 bytes, return code: 200, depth: 2
URL: http://recipes.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAbiftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.127932, size: 11714 bytes, return code: 200, depth: 2
URL: http://games.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAcSftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.267606, size: 11689 bytes, return code: 200, depth: 2
URL: http://dictionary.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAciftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.267653, size: 11884 bytes, return code: 200, depth: 2
URL: http://movies.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAbyftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.268956, size: 11616 bytes, return code: 200, depth: 2
URL: http://omg.search.yahoo.com/;_ylt=A2KJ3CcWhyFRQBMAcCftmYlQ?ei=UTF-8&fr2=tab-local&fr=altavista, time: 2013-02-17T20:44:01.308071, size: 11548 bytes, return code: 200, depth: 2
URL: http://local.search.yahoo.com/r/_ylt=A2KJ3CcWhyFRQBMAcyftmYlQ/SIG=129k8d6el/EXP=1361180566/**http%3a//tools.search.yahoo.com/about/forsearchers.html, time: 2013-02-17T20:44:01.318117, size: 12874 bytes, return code: 200, depth: 2
URL: http://tools.search.yahoo.com/searchtour.html, time: 2013-02-17T20:44:01.371458, size: 7297 bytes, return code: 200, depth: 2
URL: http://search.yahoo.com/info/submit.html, time: 2013-02-17T20:44:01.439416, size: 5326 bytes, return code: 200, depth: 2
URL: http://info.yahoo.com/privacy/us/yahoo/search/details.html, time: 2013-02-17T20:44:01.520049, size: 23047 bytes, return code: 200, depth: 2
URL: http://dir.search.yahoo.com/;_ylt=A0oG7poXhyFR9HQAyXJHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.363226, size: 11555 bytes, return code: 200, depth: 2
