Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://www.eecs.harvard.edu/, time: 2013-02-17T20:06:30.693443, size: 39370 bytes, return code: 200, depth: 1
URL: http://jobsearch.money.cnn.com/, time: 2013-02-17T20:06:32.194349, size: 60192 bytes, return code: 200, depth: 1
URL: http://www.cminusminus.org/papers.html, time: 2013-02-17T20:06:32.462154, size: 9173 bytes, return code: 200, depth: 1
URL: http://www.google.co.uk/finance?ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:33.940687, size: 118476 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/;_ylt=A0wNcuYhfiFRKrkA9wEnv7gF, time: 2013-02-17T20:06:36.167378, size: 312113 bytes, return code: 200, depth: 1
URL: http://us.lrd.yahoo.com/_ylt=A0wNcuYhfiFRKrkA9gEnv7gF/SIG=119chdqv8/EXP=1362359073/**http%3A//www.yahoo.com/, time: 2013-02-17T20:06:36.378083, size: 313061 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1189541-5-factors-that-differentiate-bank-of-america-from-other-banks-of-america?source=marketwatch, time: 2013-02-17T20:06:36.776562, size: 51866 bytes, return code: 200, depth: 1
URL: http://www.cnnmoneymediakit.com, time: 2013-02-17T20:06:37.199798, size: 10336 bytes, return code: 200, depth: 1
URL: http://status.twitter.com, time: 2013-02-17T20:06:37.328771, size: 22190 bytes, return code: 200, depth: 1
URL: http://online.wsj.com/article/SB10001424127887323495104578309612747511732.html?ru=MKTW&mod=MKTW, time: 2013-02-17T20:06:37.377751, size: 130344 bytes, return code: 200, depth: 1
URL: http://www.google.com?hl=en&ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:38.076241, size: 95559 bytes, return code: 200, depth: 1
URL: http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471222011.html, time: 2013-02-17T20:06:38.789518, size: 32760 bytes, return code: 200, depth: 1
URL: https://twitter.com/download, time: 2013-02-17T20:06:38.908818, size: 70668 bytes, return code: 200, depth: 1
URL: https://twitter.com/about/resources, time: 2013-02-17T20:06:39.571106, size: 24485 bytes, return code: 200, depth: 1
URL: http://www.fortunecareeropportunities.com, time: 2013-02-17T20:06:40.248263, size: 10163 bytes, return code: 200, depth: 1
URL: http://news.yahoo.com, time: 2013-02-17T20:06:41.061064, size: 243870 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/, time: 2013-02-17T20:06:41.727302, size: 312036 bytes, return code: 200, depth: 1
URL: http://cs1.cs.nyu.edu/leunga/www/MLRISC/Doc/html/index.html, time: 2013-02-17T20:06:42.221439, size: 9139 bytes, return code: 200, depth: 1
URL: http://biz.yahoo.com/r/, time: 2013-02-17T20:06:42.615849, size: 28629 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1185941-city-national-creating-growth-and-stability-by-banking-to-the-stars?source=marketwatch, time: 2013-02-17T20:06:42.659740, size: 62330 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/funds/, time: 2013-02-17T20:06:43.752351, size: 137311 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/en/advertise/start, time: 2013-02-17T20:06:44.028321, size: 23310 bytes, return code: 200, depth: 1
URL: http://biz.yahoo.com/ic/, time: 2013-02-17T20:06:45.716602, size: 45526 bytes, return code: 200, depth: 1
URL: http://www.gurufocus.com/news/208744/how-to-remain-solvent-longer-than-the-market-is-irrational/WSJ, time: 2013-02-17T20:06:46.173518, size: 104246 bytes, return code: 200, depth: 1
